msg_id,score,is_useful,p_tag,split,len,text,id
<24010094.1075860454083.JavaMail.evans@thyme>,0.2578156,0,P_2,train,29,"the iso is cautiously optimistic that customer outages will be avoided=20 today , ' ' according to officials.=20 today 's stage one alert is in effect through midnight tonight.=20",35
<3322652.1075846796372.JavaMail.evans@thyme>,3.6339377e-05,0,P_0,val,21,"richmond , va ( ric ) ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?",152
<21192393.1075840035492.JavaMail.evans@thyme>,0.41300333,0,P_4,val,6,""" < gig@cpuc.ca.gov > , >",11
<8616620.1075844259281.JavaMail.evans@thyme>,0.90177804,1,P_9,train,20,could you forward to me the other slides that you had so that i can distribute them to everyone ?,9
<28624192.1075853090673.JavaMail.evans@thyme>,0.9630576,1,P_9,train,16,john bring a friend with you on vacation and build memories to last a lifetime !,5
<10262329.1075846374853.JavaMail.evans@thyme>,0.85505563,1,P_8,train,44,"- i think we are ready to move on implementing flat screen monitors in all of enron building passenger elevator cabs , i.e. proposal is for two 14 "" monitors per cab , one for corporate content , other for local houston messages .",35
<23119784.1075840814066.JavaMail.evans@thyme>,0.57442886,1,P_5,train,13,eric le dain believes deal will still close by end of q3 .,8
<17120911.1075847443613.JavaMail.evans@thyme>,0.18136077,0,P_1,train,8,from : larry joe hunter 05/04/2001 04:04 pm,4
<6091552.1075842013449.JavaMail.evans@thyme>,0.8700631999999999,1,P_8,test,17,"bob , we have some good news regarding our client and testing that we uncovered yesterday .",3
<11363541.1075859988518.JavaMail.evans@thyme>,0.24168028,0,P_2,train,11,"with esmtp ; tue , 08 feb 2000 13:25:31 190= 0",5
<3736647.1075847448674.JavaMail.evans@thyme>,0.12509808,0,P_1,train,12,( see attached file : wdc99_433845_1.xls ) ( see attached file :,7
<8318522.1075861458586.JavaMail.evans@thyme>,0.6597859,1,P_6,train,10,customize your content blocks today with just a click .,4
<10971738.1075853731114.JavaMail.evans@thyme>,0.7644223000000001,1,P_7,train,18,i just found out through coh reports that 500 dth delivered to mkt 5 - 7 via k38094,3
<27472159.1075851645685.JavaMail.evans@thyme>,0.99690634,1,P_9,val,35,"according to this communication international financial institutions who have a total exposure of $ 1.1 billion too now want to exit from the project , and would want their stake to be bought out .",52
<15186600.1075852860832.JavaMail.evans@thyme>,0.76812637,1,P_7,train,53,"so , you 're stressed out and over - worked as a result of these difficult times , and you 're thinking , "" would n't it be great to go on a spa vacation "" ; but your schedule does n't really allow for the week - long trip you deserve .",1
<32064240.1075853113889.JavaMail.evans@thyme>,0.064358175,1,P_0,train,50,"on july 11 , 2001 , the new jersey superior court , appellate division , ruled that an internet service provider must disclose to a new jersey company that name of an anonymous internet user who posted confidential information about the employer on the employer 's finance message board .",601
<7778041.1075860244381.JavaMail.evans@thyme>,0.18717848,0,P_1,train,5,by : by : >,50
<1749978.1075860852126.JavaMail.evans@thyme>,0.5992805,0,P_5,train,5,---------- check out these pics,5
<11461450.1075861151520.JavaMail.evans@thyme>,0.21796395,1,P_2,train,22,to whom should one complain ( if appeals to the owner fail ) about renegade shrubbery that has overgrown a sidewalk ?,7
<14896906.1075847109785.JavaMail.evans@thyme>,0.938561,1,P_9,train,66,"therefore , although in your third example bow valley would be required to post a letter of credit for the $ 15 million , upon termination ecc would owe the $ 240 million to bow valley and paragraph 8(d ) would kick in , such that ecc would be required to return the letter of credit to bow valley and pay the $ 240 million .",3
<13292734.1075843627828.JavaMail.evans@thyme>,0.7812541999999999,0,P_7,train,15,greg galanos of softba= nk=20 venture capital will join danger 's board of directors .,199
<25086162.1075844581230.JavaMail.evans@thyme>,0.13666257,1,P_1,train,26,our nt server team has dedicated two workstations that continually ( 24 hours 7 days a week ) scan the legal directory and its subfolders .,3
<19020758.1075862257475.JavaMail.evans@thyme>,0.110506676,1,P_1,train,14,even if dynegy inc. ( dyn ) revises the terms of its acquisition of,3
<4334046.1075860442969.JavaMail.evans@thyme>,0.20695107,0,P_2,train,44,"wmb ) reporte= d=20 unaudited 2000 income from continuing operations of $ 873.2 million , or $ 1.9= 5=20 per share on a diluted basis , versus $ 178 million , or 40 cents per share on= a=20 restated basis , for 1999 .",61
<31935707.1075862884693.JavaMail.evans@thyme>,0.41514307,0,P_4,train,12,i left with a strengthened r= esolve and commitment to enron .,5
<13362792.1075856489012.JavaMail.evans@thyme>,0.25223684,1,P_2,train,10,forwarded by rita hennessy / na / enron on 08/08/2000,16
<33000822.1075845957525.JavaMail.evans@thyme>,0.084144175,0,P_0,train,47,"subject : re : world hunger assignment please send a reminder out to mike barnas , kent shoemaker , steve swift , rose engeldorf , ben jacoby , scott dieball , and sheila , and once again include the instructions ( yeah , i know ) .",3
<27011064.1075843969752.JavaMail.evans@thyme>,0.04822669,1,P_0,train,24,"the "" hanjin muscat "" sucessfully delivered our oman spot cargo at lake charles and departed without incident on the evening of 24 september",4
<3723825.1075853802778.JavaMail.evans@thyme>,0.2520487999999999,0,P_2,test,6,john david oliver@ect 03/29/2000 03:48 pm,22
<14962131.1075840275222.JavaMail.evans@thyme>,0.567279,0,P_5,train,8,o=20 inspire management and workers at ge .,85
<6076879.1075855035938.JavaMail.evans@thyme>,0.22001971,0,P_2,train,44,"julie weihaupt business development manager trigon - sheehan , llc 475 17th street , suite 300 denver , co 80202 phone 303 - 296 - 9645 ext 239 fax 303 - 296 - 0117 cell 303 - 929 - 9898 e - mail jweihaupt@trigon-sheehan.com",3
<32567572.1075847724224.JavaMail.evans@thyme>,0.7764135999999999,1,P_7,train,32,"however , the ministry said there was no "" blanket ban "" and that wind projects located close to a radar had been given the go - ahead in the past .",57
<11572999.1075843623909.JavaMail.evans@thyme>,0.050641343,1,P_0,test,44,"they and other power companies , including aes corp. and a partnership between nrg energy inc. and dynegy inc. , have asserted that skyrocketing electricity demand forced them to run aging , decrepit power plants harder than ever to meet california 's needs .",27
<29325881.1075845175289.JavaMail.evans@thyme>,0.2231360999999999,1,P_2,train,12,"now black cod , sablefish is elevated to haute cuisine 1 .",2
<28128836.1075857944747.JavaMail.evans@thyme>,0.25260255,0,P_2,train,15,"call 1 - 800 - 325 - 3252 give customer service your name , and",16
<4509153.1075843678362.JavaMail.evans@thyme>,0.9038859,1,P_9,train,10,"if you can drive , we need drivers ! ?",16
<22238825.1075843866982.JavaMail.evans@thyme>,0.77172667,1,P_7,train,14,do you also see them having a role in the direct access coaltion ?,33
<1874098.1075840265530.JavaMail.evans@thyme>,0.067943364,1,P_0,test,12,telecommunications : us rejects itu guidelines humanitarian aid and food security 15,16
<10796096.1075861203466.JavaMail.evans@thyme>,0.47102657,0,P_4,val,33,= = = = = = = = = = = = = = = = = = = = = = = = = phillips and conoco to form u.s. gasoline giant,23
<17192336.1075840749262.JavaMail.evans@thyme>,0.45916018,0,P_4,train,5,check it out at http://nww1.com/go/ad237.html,5
<10730242.1075861106580.JavaMail.evans@thyme>,0.268012,1,P_2,train,23,"unocal energy trading inc. netting agreement dated effective as of november 15 , 2001 , by and between unocal energy trading inc. and",26
<3983622.1075855213810.JavaMail.evans@thyme>,0.14534904,1,P_1,train,24,"also , the filing outlining the customer classes and their meter classifications is not required by the commission , and is competitive information .",3
<20916682.1075857822364.JavaMail.evans@thyme>,0.14874575,0,P_1,train,15,"to : "" ' ruth.concannon@enron.com ' "" < ruth.concannon@enron.com > , "" ' mroserberg@sithe.com '",6
<22387184.1075860762438.JavaMail.evans@thyme>,0.17297682,0,P_1,train,11,[ image ] view complete utilization repor= t [ image ],82
<24836482.1075861324618.JavaMail.evans@thyme>,0.4467757000000001,0,P_4,train,6,the chargers ' secondary h !,42
<17104328.1075860440527.JavaMail.evans@thyme>,0.38836604,0,P_3,train,18,"i t y f o r april 6 , 2001 5:00pm through april 9 , 2001 12:00am ------------------------",3
<16188165.1075842644419.JavaMail.evans@thyme>,0.8194769000000001,1,P_8,train,16,"paul miller requested that i add some definition to the term "" i-80 corridor "" .",2
<11540107.1075849391167.JavaMail.evans@thyme>,0.6401513000000001,0,P_6,train,32,mild weather and a strong conservation effort by californians have led to= = 20 days when the state has n't needed all the power it has on hand.=20 sharp drop in demand,436
<9899533.1075845915072.JavaMail.evans@thyme>,0.313799,1,P_3,train,11,this letter highlights the 97 - 10 and lender requirements .,2
<13978015.1075842835037.JavaMail.evans@thyme>,0.40319288,1,P_4,train,12,"they will not give us a "" material change "" out .",7
<10118998.1075852468340.JavaMail.evans@thyme>,0.021002423,1,P_0,train,44,"and dan points out a more valid thing to consider - a terrorist is n't going to attack a tariff desk , market system , or security coordinator ; they will attack nuclear units , substations , and other installations that actually matter .",43
<17785223.1075844547257.JavaMail.evans@thyme>,0.95809865,0,P_9,val,38,"paul stephen j heidi nick mooney / lon / ect@ect , jerven subject : global confirm for weather dear david , thanks to you for your prompt attention and to jerven for finding christian 's corrected document .",3
<16989816.1075852480562.JavaMail.evans@thyme>,0.057508163,1,P_0,train,32,"state treasurer barbara hafer reveals that about $ 300,000 was fraudulently removed from the state 's treasury , in what she is terming ' economic terrorism , ' on pennsylvania newsmakers .",1
<12881798.1075852662714.JavaMail.evans@thyme>,0.2130744,0,P_2,train,9,.54 wti cushing spot 10/25 versus 10/18 $ 21.83,51
