msg_id,score,is_useful,p_tag,split,text,id
<19825908.1075840383453.JavaMail.evans@thyme>,0.9773277,1,P_9,val,"when you shop , make sure you 're getting the right fit , and select accessories for your specific visor handheld model .",14
<5142444.1075855458819.JavaMail.evans@thyme>,0.21949063,1,P_2,test,"sells 25,000 shares of forrester research inc [ forr ]",23
<725656.1075840992710.JavaMail.evans@thyme>,0.20195805,1,P_2,train,your room mate is moving in with george ? ! ? ! ?,1
<9634496.1075852490933.JavaMail.evans@thyme>,0.8458726000000001,1,P_8,val,"as always , these should be considered as drafts and your input is highly encouraged .",13
<14904677.1075857552738.JavaMail.evans@thyme>,0.7134481,1,P_7,train,and just copy me with what you have sent .,9
<32823688.1075859051565.JavaMail.evans@thyme>,0.3849296,0,P_3,train,"analyst $ 7,400 analyst $ 6,400",7
<26663920.1075858360644.JavaMail.evans@thyme>,0.7500454000000001,0,P_7,train,see you at lunch .,13
<26282329.1075846355337.JavaMail.evans@thyme>,0.8732502000000001,1,P_8,train,you can update the group on the cerc forming act .,9
<10268632.1075841327698.JavaMail.evans@thyme>,0.5062840000000001,1,P_5,train,your beautiful flowers and the delightful complimentary box of chocolates are guaranteed to be delivered by fedex on valentines day !,4
<12621849.1075858994163.JavaMail.evans@thyme>,0.51924527,1,P_5,train,glenn is still recovering from a hamstring injury and the patriots want to see how his leg holds up before activating him sunday .,80
<17269348.1075861387561.JavaMail.evans@thyme>,0.5618895,1,P_5,train,this report is not to be construed as an offer to sell or the solicitation of an offer to buy any security in any jurisdiction where such an offer or solicitation would be illegal .,30
<15014849.1075857551873.JavaMail.evans@thyme>,0.27815568,1,P_2,train,a meeting to discuss progression of markets jeff :,4
<10746216.1075842253267.JavaMail.evans@thyme>,0.8965244000000001,1,P_8,train,thereafter we will have it signed and by enron and will return a fully executed copy to you .,27
<28543449.1075841171541.JavaMail.evans@thyme>,0.1931089,0,P_1,train,"american tissue dismissed andersen in october , a month after the company ad= mitted that its financial reports for fiscal 2000 and 2002 contained "" mater= ial inaccuracies.""=20",1290
<10215949.1075847411064.JavaMail.evans@thyme>,0.09326589,0,P_0,train,", wendy conwell / na / enron@enron , edward sacks / corp / enron@enron , susan bailey / hou / ect@ect ,",20
<5201419.1075844304558.JavaMail.evans@thyme>,0.991159,1,P_9,train,with the help from denis tu and jim saunders i have put together an excel workbook to capture project economic assumptions which will be used in dcf analysis .,1
<20445728.1075863307388.JavaMail.evans@thyme>,0.4047309,1,P_4,train,burt called at 17:32 and asked for more operating reserves for the same 16:18 contingency of fuel problems .,10
<10899155.1075860048519.JavaMail.evans@thyme>,0.3409211,0,P_3,train,buy call feb-125 cof - be oi=118 at $ 9.38 sl=6.75 itm,116
<15529386.1075842677016.JavaMail.evans@thyme>,0.95373374,1,P_9,val,some other time would probably work better .,5
<27029472.1075856640028.JavaMail.evans@thyme>,0.90582794,1,P_9,train,"if you can take that platform , and you use the capabilities the bricks bring to the table , e - commerce the industry and change the structure , you 're selling for more than a 50 multiple .",39
<18127808.1075845218698.JavaMail.evans@thyme>,0.24032031,1,P_2,train,"good intentions and their unintended consequences by raymond f. devoe ,",62
<30044995.1075855911091.JavaMail.evans@thyme>,0.2554199,0,P_2,train,", nicola shears / lon / ect@ect ,",17
<20692467.1075843660709.JavaMail.evans@thyme>,0.031068223,1,P_0,train,also exempted are low - income customers who already receive discounted electricity rates . ? ?,316
<12410257.1075840900901.JavaMail.evans@thyme>,0.39762348,0,P_3,train,california supreme court to challenge,10
<21691946.1075857637353.JavaMail.evans@thyme>,0.26176628,1,P_2,test,"finally , i am london and it is not doom and gloom over here .",24
<15640219.1075842272542.JavaMail.evans@thyme>,0.69887024,1,P_6,train,"i have confirmed with coastal today , they have still not received the draft although are expecting this from ena .",9
<13353613.1075854114304.JavaMail.evans@thyme>,0.40386426,0,P_4,train,Re: Copano,0
<28444731.1075858732906.JavaMail.evans@thyme>,0.5852655999999999,1,P_5,val,"attached is a draft document that i believe reflects our discussion this morning concerning the "" rate plan "" condition for the oregon proceeding .",1
<4783616.1075840327806.JavaMail.evans@thyme>,0.16494375,0,P_1,train,"> lorraine green , houston , tx 169 , carol green , houston , tx 170 .",136
<26285829.1075843673979.JavaMail.evans@thyme>,0.2850289,0,P_2,train,"our hydro assets actually have a higher value.""=20 glynn 's comments may signal challenges down the road for gov. gray davis'= = 20 efforts to acquire the transmission systems of all three of california's=20 investor - owned utilities.=20 southern california edison already has agreed to sell its lines to the stat= e=20 for $ 2.7 billion .",719
<2536727.1075859026681.JavaMail.evans@thyme>,0.32208169,0,P_3,train,"> , active wr < font size=2 >",255
<27844999.1075858675931.JavaMail.evans@thyme>,0.2831401,1,P_2,train,| |william j. lafferty in support of notice,294
<21235496.1075854131728.JavaMail.evans@thyme>,0.3132935,1,P_3,train,Unify Enhancement Tracking List for ENA Upstream,0
<7331330.1075844507628.JavaMail.evans@thyme>,0.92255723,1,P_9,train,"dale , i 've added "" pjm interconnect peak "" load shape to the mapping table .",1
<23881542.1075840692161.JavaMail.evans@thyme>,0.35021386,0,P_3,train,11-night royal caribbean hawaii cruise from $ 689 .,20
<24135013.1075846351052.JavaMail.evans@thyme>,0.94216496,1,P_9,train,article concludes by saying the deregulated market is just beginning and with a few adjustments will work out fine,20
<6008386.1075840408073.JavaMail.evans@thyme>,0.8838155000000001,1,P_8,train,"this week , we discuss reviewing your finances to ensure that you will achieve your targets , and what to do if you are going to come up short .",2
<14359790.1075857412332.JavaMail.evans@thyme>,0.94656044,1,P_9,train,employees may be requisitioned through the new it central website .,2
<20588226.1075840777933.JavaMail.evans@thyme>,0.40386426,0,P_4,test,Petrochem Desk,0
<9554624.1075843974887.JavaMail.evans@thyme>,0.8960374,1,P_8,train,"richard , life does move on !",1
<14999566.1075863232282.JavaMail.evans@thyme>,0.09470685,1,P_0,train,global contracts does not have the ability to indicate that the broker is confirming if it is brokered versus someone else if the deal is not brokered .,41
<23889631.1075841156703.JavaMail.evans@thyme>,0.050048925,0,P_0,train,"far from being the first to jump ship= , nortel networks corp. 's execs and directors bought 34 times in the months= since october , 2000 - -a period when the stock plunged by 90 % .",538
<32953049.1075844527717.JavaMail.evans@thyme>,0.22296914,1,P_2,train,forwarded by sara shackleton / hou / ect on 10/11/99 11:39 am,2
